#log(M/M⊙) bin phi/10−3 error number
#mid point width dex−1 Mpc−3
#https://arxiv.org/pdf/1111.5707.pdf
#points below 10^8 should be regarded as lower limits
6.25 0.50 31.1 21.6 9
6.75 0.50 18.1 6.6 19
7.10 0.20 17.9 5.7 18
7.30 0.20 43.1 8.7 46
7.50 0.20 31.6 9.0 51
7.70 0.20 34.8 8.4 88
7.90 0.20 27.3 4.2 140
8.10 0.20 28.3 2.8 243
8.30 0.20 23.5 3.0 282
8.50 0.20 19.2 1.2 399
8.70 0.20 18.0 2.6 494
8.90 0.20 14.3 1.7 505
9.10 0.20 10.2 0.6 449
9.30 0.20 9.59 0.55 423
9.50 0.20 7.42 0.41 340
9.70 0.20 6.21 0.37 290
9.90 0.20 5.71 0.35 268
10.10 0.20 5.51 0.34 260
10.30 0.20 5.48 0.34 259
10.50 0.20 5.12 0.33 242
10.70 0.20 3.55 0.27 168
10.90 0.20 2.41 0.23 114
11.10 0.20 1.27 0.16 60
11.30 0.20 0.338 0.085 16
11.50 0.20 0.042 0.030 2
11.70 0.20 0.021 0.021 1
11.90 0.20 0.042 0.030 2
