# logMvir mean_logM*       SD           Minimum Maximum Quartile1          Median             Quartile3         
  10   6.5275836  0.057174623  6.31281 6.75423 6.488160133361816  6.5256500244140625 6.565189838409424 
  10.1 6.724802   0.05028056   6.53173 6.91631 6.690310001373291  6.723229885101318  6.758359909057617 
  10.2 6.921885   0.04354984   6.75062 7.07797 6.892099857330322  6.920849800109863  6.951369762420654 
  10.3 7.1187606  0.03708534   6.96943 7.24939 7.093719959259033  7.11821985244751   7.144100189208984 
  10.4 7.3153105  0.031089649  7.18814 7.42354 7.294380187988281  7.315179824829102  7.336790084838867 
  10.5 7.5113864  0.025973499  7.40666 7.60713 7.494219779968262  7.511390209197998  7.529250144958496 
  10.6 7.7069106  0.022460869  7.62476 7.79184 7.691979885101318  7.706850051879883  7.722089767456055 
  10.7 7.9023166  0.021164082  7.82925 7.98214 7.888090133666992  7.902359962463379  7.916329860687256 
  10.8 8.099413   0.021312097  8.01853 8.17659 8.085260391235352  8.099470138549805  8.113659858703613 
  10.9 8.302031   0.02083702   8.22324 8.3776  8.28810977935791   8.301939964294434  8.316100120544434 
  11   8.515223   0.01872043   8.44379 8.58579 8.502479553222656  8.515089988708496  8.52791976928711  
  11.1 8.742441   0.016858304  8.67436 8.81194 8.73091983795166   8.742509841918945  8.753769874572754 
  11.2 8.982333   0.01792047   8.91683 9.05866 8.970190048217773  8.982230186462402  8.99407958984375  
  11.3 9.22778    0.020278258  9.15269 9.30985 9.21405029296875   9.227450370788574  9.240920066833496 
  11.4 9.468022   0.0208819    9.38972 9.54546 9.454110145568848  9.467880249023438  9.48192024230957  
  11.5 9.692308   0.018937133  9.61332 9.75583 9.679980278015137  9.692569732666016  9.705109596252441 
  11.6 9.89284    0.015431804  9.82156 9.94425 9.882909774780273  9.893289566040039  9.903260231018066 
  11.7 10.066055  0.011941331  10.0098 10.1067 10.05840015411377  10.066399574279785 10.074000358581543
  11.8 10.212328  0.009646953  10.1728 10.2464 10.206100463867188 10.212400436401367 10.218700408935547
  11.9 10.334674  0.008659989  10.3016 10.3653 10.329000473022461 10.334699630737305 10.340399742126465
  12   10.437275  0.008293277  10.4066 10.4687 10.43179988861084  10.437199592590332 10.44279956817627 
  12.1 10.524343  0.007992771  10.4963 10.5549 10.519000053405762 10.524299621582031 10.529600143432617
  12.2 10.599515  0.0076018516 10.572  10.6291 10.594400405883789 10.59939956665039  10.604599952697754
  12.3 10.6656885 0.0071566156 10.6397 10.6921 10.660900115966797 10.665599822998047 10.670499801635742
  12.4 10.725053  0.0067280177 10.6996 10.7488 10.720499992370605 10.725000381469727 10.729599952697754
  12.5 10.779227  0.0063656676 10.7542 10.8025 10.774900436401367 10.779199600219727 10.783499717712402
  12.6 10.8294    0.006090465  10.8051 10.8527 10.825200080871582 10.829400062561035 10.833499908447266
  12.7 10.876442  0.005903127  10.8533 10.8996 10.872400283813477 10.876399993896484 10.880499839782715
  12.8 10.920996  0.0057963408 10.8991 10.9439 10.916999816894531 10.920999526977539 10.925000190734863
  12.9 10.963541  0.005760037  10.9432 10.9861 10.959500312805176 10.963500022888184 10.967499732971191
  13   11.004438  0.0057872715 10.9843 11.0266 11.000399589538574 11.004400253295898 11.008399963378906
  13.1 11.0439625 0.0058751623 11.024  11.0661 11.039899826049805 11.043899536132812 11.04800033569336 
  13.2 11.082323  0.0060228165 11.0618 11.1062 11.078100204467773 11.082300186157227 11.086400032043457
  13.3 11.119685  0.0062318486 11.0977 11.1452 11.115400314331055 11.119600296020508 11.123900413513184
  13.4 11.156177  0.006503935  11.1321 11.1834 11.151700019836426 11.156100273132324 11.160499572753906
  13.5 11.191897  0.006840744  11.1658 11.2207 11.187199592590332 11.191800117492676 11.196499824523926
  13.6 11.22693   0.007242095  11.1988 11.2579 11.22189998626709  11.226799964904785 11.231800079345703
  13.7 11.261336  0.0077079423 11.2313 11.2951 11.255999565124512 11.261099815368652 11.266500473022461
  13.8 11.29517   0.008235271  11.2632 11.3318 11.28950023651123  11.295000076293945 11.300700187683105
  13.9 11.328473  0.008822531  11.2947 11.368  11.32229995727539  11.328300476074219 11.334400177001953
  14   11.3612795 0.009466032  11.3257 11.4036 11.354700088500977 11.361100196838379 11.367600440979004
  14.1 11.393619  0.010161731  11.3564 11.4388 11.386500358581543 11.393400192260742 11.400500297546387
  14.2 11.425512  0.010907242  11.3856 11.4736 11.417900085449219 11.425299644470215 11.432900428771973
  14.3 11.456984  0.01169901   11.4137 11.5079 11.448800086975098 11.456700325012207 11.464900016784668
  14.4 11.488048  0.012532981  11.4414 11.5418 11.479299545288086 11.487799644470215 11.496500015258789
  14.5 11.518722  0.013406567  11.4686 11.5753 11.509400367736816 11.518500328063965 11.527799606323242
  14.6 11.549017  0.014316752  11.4954 11.6084 11.53909969329834  11.548700332641602 11.558699607849121
  14.7 11.578946  0.015260852  11.5218 11.6412 11.568400382995605 11.57859992980957  11.589300155639648
  14.8 11.60852   0.016236493  11.5475 11.6735 11.597200393676758 11.608200073242188 11.619500160217285
  14.9 11.637748  0.017241398  11.5727 11.7063 11.625800132751465 11.637299537658691 11.649399757385254
  15   11.666639  0.018273732  11.5975 11.7392 11.654000282287598 11.666199684143066 11.678999900817871
